i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
235,709.3653503321359,235,0.21311475409836064,61,13,1.5,4,426,2,1,0,1,1,0,0,1,1,0,0,1,1.0,0.21311475409836064,1.5,1.3,,
429,2050.8038245194152,429,0.6868131868131868,182,125,3.6,5,1419,5,1,3,1,1,0,0,1,1,0,1,1,0.25,0.6868131868131868,3.5999999999999996,2.8,,
119,385.52045616154794,119,0.7292817679558011,181,132,2.7,3,1003,4,2,0,2,1,0,1,0,1,0,1,1,1.0,0.7292817679558011,2.7,2.1,,
115,4310.062803647477,115,0.37158469945355194,183,68,3.4,1,2035,5,2,2,1,1,0,0,1,1,0,1,1,0.3333333333333333,0.37158469945355194,3.4,2.6,,
246,1370.5062792713125,246,0.8260869565217391,138,114,1.7,2,3569,2,0,1,1,1,0,0,1,1,0,1,1,0.5,0.8260869565217391,1.7,1.5,,
149,1283.4839710639476,149,0.7237569060773481,181,131,3.2,3,1093,5,3,0,2,0,0,1,0,1,0,0,1,1.0,0.0,3.2,2.4,,
427,1206.6411641203754,427,0.5,186,93,1.7,4,560,2,0,1,1,1,0,0,1,1,1,1,1,0.5,0.5,1.7,1.5,,
397,1306.7809995083612,397,0.732484076433121,157,115,1.0,3,1110,1,0,1,0,0,1,1,0,0,0,0,1,0.0,0.0,1.0,1.0,,
350,588.3158219543541,350,0.6815642458100558,179,122,2.4,3,1093,3,0,1,2,1,0,1,0,1,0,0,1,0.6666666666666666,0.6815642458100558,2.4,2.0,,
158,2802.5878978859,158,0.7736842105263158,190,147,1.0,1,2058,1,0,0,1,1,0,1,0,1,1,1,1,1.0,0.7736842105263158,1.0,1.0,,
176,2803.2217665660355,176,0.24864864864864866,185,46,1.7,2,3640,2,0,2,0,1,0,0,1,1,0,0,1,0.0,0.24864864864864866,1.7,1.5,,
230,6404.733814770545,230,0.4811320754716981,212,102,2.4,2,3705,3,0,2,1,1,0,1,0,1,0,1,1,0.3333333333333333,0.4811320754716981,2.4,2.0,,
410,834.4146203990465,410,0.8142076502732241,183,149,1.0,4,426,1,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,
142,213.82136964282847,142,0.38461538461538464,182,70,1.5,3,1110,2,1,1,0,1,0,0,1,1,0,1,1,0.0,0.38461538461538464,1.5,1.3,,
336,465.22663506332924,336,0.7444444444444445,180,134,2.9,3,1093,4,1,2,1,1,0,0,1,1,0,1,1,0.3333333333333333,0.7444444444444445,2.9,2.3,,
313,2356.104169901068,313,0.5815217391304348,184,107,2.4,6,1419,3,0,2,1,1,0,1,0,1,0,0,1,0.3333333333333333,0.5815217391304348,2.4,2.0,,
174,1125.507490412289,174,0.8586956521739131,184,158,1.7,4,560,2,0,0,2,1,0,1,0,0,1,0,1,1.0,0.8586956521739131,1.7,1.5,,
239,586.2961840123093,239,0.6460674157303371,178,115,2.9,4,564,4,1,1,2,0,0,1,0,0,0,0,1,0.6666666666666666,0.0,2.9,2.3,,
110,6436.558481878238,110,0.5,212,106,2.7,7,7374,4,2,2,0,1,0,0,1,1,0,1,1,0.0,0.5,2.7,2.1,,
205,2091.880122088075,205,0.4056603773584906,212,86,1.5,3,1110,2,1,0,1,1,0,1,0,1,0,0,1,1.0,0.4056603773584906,1.5,1.3,,
146,3450.9843939850844,146,0.8908045977011494,174,155,1.7,1,2187,2,0,2,0,1,0,1,0,1,0,0,1,0.0,0.8908045977011494,1.7,1.5,,
324,567.5023265487114,324,0.5714285714285714,210,120,2.5,3,1003,4,3,0,1,0,0,1,0,0,0,0,1,1.0,0.0,2.5,1.9,,
153,1671.9266599513355,153,0.569060773480663,181,103,2.7,3,1170,4,2,1,1,1,0,0,1,1,0,0,1,0.5,0.569060773480663,2.7,2.1,,
337,1171.4366696539896,337,0.6927374301675978,179,124,2.9,3,1093,4,1,2,1,1,0,1,0,1,0,1,1,0.3333333333333333,0.6927374301675978,2.9,2.3,,
285,3362.3577223449083,285,0.2962962962962963,189,56,3.4,5,1587,5,2,0,3,1,0,1,0,1,1,1,1,1.0,0.2962962962962963,3.4,2.6,,
