i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
175,1976.683955055274,175,0.30978260869565216,184,57,1.7,2,3640,2,0,2,0,1,0,0,1,1,0,0,1
176,2803.2217665660355,176,0.24864864864864866,185,46,1.7,2,3640,2,0,2,0,1,0,0,1,1,0,0,1
177,4862.0094154971885,177,0.40119760479041916,167,67,1.7,2,3640,2,0,2,0,1,0,0,1,1,0,0,1
178,928.8497972157079,178,0.7471264367816092,174,130,3.8,4,426,5,0,1,4,0,0,1,0,1,0,1,1
179,223.9673062056073,179,0.4486486486486487,185,83,3.8,4,426,5,0,1,4,0,0,1,0,1,0,1,1
180,1060.2519007754022,180,0.49740932642487046,193,96,3.8,4,426,5,0,1,4,0,0,1,0,1,0,1,1
181,2216.2339694864268,181,0.12299465240641712,187,23,2.7,1,1882,4,2,1,1,1,0,0,1,1,0,1,1
182,4566.412688169947,182,0.3651685393258427,178,65,2.7,1,1882,4,2,1,1,1,0,0,1,1,0,1,1
183,4960.608581324166,183,0.08379888268156424,179,15,2.7,1,1882,4,2,1,1,1,0,0,1,1,0,1,1
184,774.3707349845806,184,0.6417112299465241,187,120,2.2,3,1170,3,1,2,0,1,0,0,1,1,0,0,1
185,208.85698689391876,185,0.15027322404371585,366,55,1.0,4,564,1,0,1,0,0,0,0,1,0,0,0,1
186,1168.0341372062412,186,0.14246575342465753,365,52,1.0,4,564,1,0,1,0,0,0,0,1,0,0,0,1
187,912.8146969404293,187,0.46601941747572817,206,96,1.7,6,1587,2,0,0,2,1,1,1,0,1,1,0,1
188,2329.808079217655,188,0.45754716981132076,212,97,1.7,6,1587,2,0,0,2,1,1,1,0,1,1,0,1
189,942.2228600424239,189,0.6540880503144654,159,104,1.7,6,1587,2,0,0,2,1,1,1,0,1,1,0,1
190,853.6423437835989,190,0.32905982905982906,234,77,1.0,4,426,1,0,0,1,1,0,0,1,1,0,0,1
191,813.2073001757203,191,0.425414364640884,181,77,1.0,4,426,1,0,0,1,1,0,0,1,1,0,0,1
